QM Energy	FF Energy
    -0.000105817    -0.000150901
    -0.000239648    -0.000199339
       -1.56e-05    -1.70777e-05
     -7.1421e-05    -7.79373e-05
     -0.00139219     -0.00152641
    -0.000358549    -0.000433753
     -6.7397e-05    -0.000120894
    -0.000711256    -0.000924167
     -0.00060393    -0.000468987
    -0.000521435    -0.000613601
     -1.3514e-05    -1.93138e-05
      -0.0015932     -0.00180319
    -0.000315251    -0.000285799
    -0.000435958    -0.000392445
     -0.00022755    -0.000184908
     -2.2989e-05    -2.65538e-05
    -0.000791187    -0.000848932
    -0.000336337    -0.000262809
     -6.6995e-05    -7.06116e-05
     -0.00189859     -0.00199808
     -2.6608e-05    -3.12228e-05
     -0.00077122    -0.000735766
    -0.000896877     -0.00106479
    -0.000131171     -0.00012519
     -8.5931e-05    -8.23762e-05
     -4.9368e-05    -5.49542e-05
    -0.000111819     -0.00014122
     -0.00150338     -0.00118015
    -0.000795281    -0.000940189
     -7.3574e-05    -8.77142e-05
     -2.5145e-05    -2.90304e-05
    -0.000544999    -0.000593187
    -0.000404315    -0.000326767
    -0.000171461    -0.000153136
    -0.000317683    -0.000206183
    -0.000208948     -0.00026431
    -0.000123966    -0.000123982
     -0.00108121     -0.00107693
    -0.000925269    -0.000845984
    -0.000328361    -0.000364265
    -0.000151507    -0.000126959
    -0.000628279    -0.000494751
     -1.1351e-05     -1.8264e-05
      -5.199e-05    -4.57736e-05
     -1.6822e-05    -1.70206e-05
    -0.000432621    -0.000303479
     -1.6408e-05    -1.41485e-05
     -0.00127428     -0.00120179
     -4.6098e-05    -4.62642e-05
     -6.4812e-05    -7.43124e-05
      -6.521e-06    -9.04744e-06
    -0.000651084    -0.000547629
    -0.000302673    -0.000388657
     -7.5201e-05    -8.26416e-05
    -0.000477363    -0.000565317
     -0.00205225     -0.00200578
     -3.6858e-05    -4.13912e-05
     -0.00110618      -0.0010747
     -3.7363e-05     -3.6838e-05
     -8.7027e-05    -7.64117e-05
