QM Energy	FF Energy
     -0.00294721     -0.00287735
     -0.00534758     -0.00519037
     -0.00531739     -0.00553185
     -0.00515378     -0.00541714
     -0.00153815     -0.00152993
     -0.00329926      -0.0033467
    -0.000587342    -0.000507142
     -0.00254707     -0.00258725
     -0.00491745     -0.00491435
     -0.00399429     -0.00387319
      -0.0045514      -0.0043835
     -0.00286129      -0.0029199
     -0.00302174     -0.00291754
     -0.00198834     -0.00184912
     -0.00839254     -0.00818528
     -0.00148997     -0.00136327
     -0.00073269     -0.00064697
    -0.000685079    -0.000649371
     -0.00140439     -0.00135958
     -0.00639989      -0.0064098
    -0.000826197    -0.000680915
     -0.00327454      -0.0032817
      -0.0014646     -0.00140792
     -0.00374336     -0.00370689
     -0.00200414       -0.001933
     -0.00592693     -0.00610834
     -0.00191819     -0.00186746
      -0.0014831     -0.00144801
     -0.00625804     -0.00627685
     -0.00450377     -0.00471159
     -0.00910142     -0.00926273
     -0.00436038      -0.0041311
     -0.00115527     -0.00106223
     -0.00334103     -0.00332463
     -0.00125516     -0.00114254
     -0.00080809    -0.000801878
     -0.00104813    -0.000930473
     -0.00305072     -0.00288374
     -0.00264385     -0.00246743
    -0.000983823    -0.000960505
     -0.00297197     -0.00289196
     -0.00101639    -0.000977078
    -0.000596755    -0.000544067
     -0.00664574     -0.00669731
     -0.00118267     -0.00114361
    -0.000686872    -0.000662559
      -0.0075587     -0.00789828
    -0.000736618    -0.000700026
     -0.00138296     -0.00132781
     -0.00125279     -0.00121457
     -0.00219401     -0.00226044
     -0.00321518     -0.00297426
     -0.00552131     -0.00546909
     -0.00486374      -0.0048542
     -0.00319813     -0.00316368
     -0.00163605     -0.00157651
     -0.00170103     -0.00163597
     -0.00148921     -0.00147374
    -0.000603236     -0.00056335
    -0.000985772    -0.000952744
     -0.00612148     -0.00608132
     -0.00145685     -0.00141343
       -0.005447      -0.0053644
     -0.00124826     -0.00114698
      -0.0026561     -0.00267873
    -0.000966016    -0.000910048
    -0.000641913    -0.000610817
     -0.00406235     -0.00407197
    -0.000834284    -0.000776717
     -0.00124091     -0.00115036
     -0.00813053     -0.00802472
    -0.000983367    -0.000886615
     -0.00108859     -0.00104368
     -0.00145279     -0.00140564
     -0.00192222     -0.00186465
     -0.00292253     -0.00290708
     -0.00294875     -0.00289326
     -0.00114885     -0.00111557
     -0.00732074     -0.00718947
      -0.0013906     -0.00134725
    -0.000649511    -0.000580056
     -0.00063899    -0.000601012
     -0.00522579     -0.00509548
    -0.000903721    -0.000865291
     -0.00263319     -0.00252581
     -0.00538274      -0.0054011
     -0.00305104     -0.00305961
    -0.000779165     -0.00074544
     -0.00555195     -0.00540632
     -0.00850465     -0.00842001
      -0.0010362    -0.000919224
     -0.00431213     -0.00431642
     -0.00385896     -0.00396849
     -0.00159628     -0.00150692
     -0.00858996     -0.00876547
     -0.00257592     -0.00250422
     -0.00115027     -0.00112438
     -0.00281769     -0.00278924
    -0.000898443    -0.000847853
     -0.00412593     -0.00407022
     -0.00843842     -0.00850661
     -0.00117829     -0.00114153
      -0.0011359      -0.0010563
     -0.00273419     -0.00269351
     -0.00835283     -0.00852306
     -0.00787515     -0.00779761
     -0.00131293     -0.00126549
     -0.00424597       -0.004351
    -0.000676665    -0.000600235
     -0.00417474     -0.00406516
     -0.00307512     -0.00323253
    -0.000891801    -0.000810799
     -0.00838344       -0.008492
     -0.00183413     -0.00185733
     -0.00386215     -0.00394751
     -0.00119147     -0.00117336
     -0.00207328     -0.00204903
     -0.00253975     -0.00239834
     -0.00455196     -0.00451183
     -0.00370975     -0.00350292
     -0.00146397     -0.00136863
     -0.00085066    -0.000751714
    -0.000930808    -0.000831646
     -0.00181036     -0.00172511
     -0.00350684     -0.00362309
     -0.00749286     -0.00730201
     -0.00120567     -0.00109892
     -0.00344999     -0.00322813
     -0.00353148     -0.00362196
      -0.0016838     -0.00174107
     -0.00134739     -0.00121712
    -0.000850298    -0.000849211
     -0.00693674     -0.00716848
     -0.00703162     -0.00717833
    -0.000785918    -0.000778619
     -0.00208908     -0.00209138
     -0.00094773    -0.000857032
     -0.00225623     -0.00228196
     -0.00103327     -0.00103232
     -0.00193003     -0.00177227
     -0.00305839     -0.00295373
     -0.00314552     -0.00310115
     -0.00147239     -0.00129849
     -0.00760228     -0.00769216
     -0.00239836     -0.00251422
     -0.00410491     -0.00412561
     -0.00341683     -0.00336233
      -0.0154264      -0.0158781
    -0.000982801    -0.000970697
     -0.00665677     -0.00655839
     -0.00348414     -0.00361597
     -0.00738345     -0.00690382
     -0.00246388     -0.00232847
      -0.0021183     -0.00209287
     -0.00332941     -0.00323541
     -0.00832032     -0.00844094
     -0.00202116     -0.00192701
     -0.00171236     -0.00171544
    -0.000909932    -0.000837967
    -0.000463879    -0.000417165
     -0.00196612     -0.00192294
     -0.00206446     -0.00211361
     -0.00255537     -0.00240557
     -0.00146027     -0.00141701
     -0.00705571     -0.00715978
     -0.00110807     -0.00107731
     -0.00143585      -0.0012406
     -0.00380212     -0.00384392
    -0.000795583    -0.000752201
    -0.000615399    -0.000572514
     -0.00357636     -0.00341343
     -0.00349643     -0.00358981
     -0.00215701     -0.00204091
     -0.00236067     -0.00237115
     -0.00475605     -0.00489873
     -0.00599708     -0.00621949
     -0.00130218     -0.00120905
    -0.000981461    -0.000919332
     -0.00204255     -0.00196576
     -0.00940323     -0.00937885
     -0.00160007     -0.00158404
     -0.00363725     -0.00337332
     -0.00587356     -0.00587908
    -0.000737889    -0.000697118
    -0.000857917    -0.000844373
      -0.0134932      -0.0131851
     -0.00196423     -0.00194235
      -0.0039317     -0.00393525
     -0.00121314     -0.00118434
     -0.00082131    -0.000775987
      -0.0062321     -0.00625549
     -0.00204343     -0.00190563
    -0.000924285    -0.000810319
     -0.00456492     -0.00479144
     -0.00133869      -0.0013487
     -0.00178735     -0.00169485
     -0.00228758     -0.00224569
     -0.00202211     -0.00185331
      -0.0018164     -0.00177129
     -0.00538055     -0.00545997
      -0.0022822     -0.00223926
     -0.00375045     -0.00372735
     -0.00100841    -0.000944034
     -0.00524595     -0.00546654
      -0.0156247      -0.0149903
     -0.00068198     -0.00064535
     -0.00346582     -0.00347404
     -0.00639006     -0.00646648
      -0.0208549      -0.0213053
     -0.00907089      -0.0088873
     -0.00422281     -0.00431792
     -0.00287739     -0.00267995
     -0.00547945     -0.00534518
     -0.00180249      -0.0017607
     -0.00175913      -0.0017335
     -0.00304837     -0.00307126
     -0.00185901     -0.00179726
    -0.000513694    -0.000458178
    -0.000489084    -0.000413576
     -0.00488551     -0.00499366
     -0.00519154      -0.0052276
     -0.00273193     -0.00267833
     -0.00189542     -0.00191136
     -0.00509611     -0.00504217
     -0.00113158     -0.00108073
     -0.00345272     -0.00347285
      -0.0029715     -0.00286035
     -0.00589749     -0.00574704
      -0.0032373     -0.00325112
      -0.0012033     -0.00116215
     -0.00220106     -0.00196305
     -0.00276633     -0.00281022
     -0.00419693     -0.00423658
     -0.00180312     -0.00178959
     -0.00996692     -0.00971101
     -0.00215982      -0.0021053
     -0.00117906     -0.00101597
     -0.00227984     -0.00222244
     -0.00169197      -0.0016946
     -0.00332218     -0.00329357
     -0.00738306     -0.00738962
     -0.00177648     -0.00165416
     -0.00112836     -0.00100795
      -0.0025654     -0.00246779
    -0.000763657    -0.000746734
     -0.00104778    -0.000993503
     -0.00267962     -0.00254197
      -0.0021786     -0.00214499
     -0.00205098     -0.00191742
     -0.00135038     -0.00123576
