QM Energy	FF Energy
    -0.000278742    -0.000328402
    -0.000832271    -0.000748395
    -0.000753213    -0.000778079
    -0.000658701    -0.000719361
    -0.000105107    -0.000115232
    -0.000517919    -0.000376469
      -8.593e-06     -8.9847e-06
     -0.00012462    -0.000199768
    -0.000865122     -0.00063836
    -0.000707123     -0.00060446
    -0.000728216    -0.000750683
    -0.000155789    -0.000220391
    -0.000344821     -0.00028077
    -0.000117798    -0.000122436
     -0.00203629      -0.0017396
     -9.6754e-05    -0.000111548
     -1.8153e-05     -3.1063e-05
     -1.5819e-05    -2.73122e-05
     -5.8638e-05    -7.17447e-05
     -0.00125194     -0.00111868
     -2.8255e-05    -1.53345e-05
    -0.000664252    -0.000468444
    -0.000134551    -9.54901e-05
    -0.000356348    -0.000353606
    -0.000130661    -0.000114323
      -0.0010774    -0.000793547
    -0.000149767    -0.000162861
     -7.5486e-05    -0.000114454
     -0.00146145      -0.0012925
     -0.00074466    -0.000881355
     -0.00215329     -0.00196807
    -0.000865551     -0.00047993
     -3.3345e-05    -5.48067e-05
    -0.000213894     -0.00028098
        -3.5e-05    -4.11688e-05
     -1.7746e-05    -3.40959e-05
     -3.5051e-05    -2.38695e-05
    -0.000493045    -0.000375256
    -0.000222416    -0.000181664
     -3.6044e-05    -4.17828e-05
    -0.000411272    -0.000255664
     -3.8599e-05    -4.19261e-05
      -9.248e-06    -1.24319e-05
     -0.00145418     -0.00111908
     -4.8376e-05    -6.61403e-05
      -9.502e-06    -2.30925e-05
     -0.00127623     -0.00115125
      -1.666e-05    -1.98779e-05
     -3.3258e-05    -5.23118e-05
     -6.6968e-05    -5.56767e-05
    -0.000136337    -0.000188209
     -0.00025708    -0.000201366
    -0.000768811    -0.000691815
    -0.000650946    -0.000609798
    -0.000338647    -0.000404007
    -0.000123929    -0.000117922
     -7.2695e-05    -7.62534e-05
     -5.0541e-05    -7.55405e-05
      -7.449e-06    -1.24135e-05
     -1.9338e-05    -4.12794e-05
     -0.00165394     -0.00106392
     -6.5781e-05    -7.54835e-05
    -0.000928871    -0.000894451
     -5.3356e-05    -4.44094e-05
    -0.000286815    -0.000196297
     -5.9947e-05    -4.69693e-05
     -1.2683e-05    -2.27953e-05
    -0.000642782    -0.000444431
     -1.7234e-05    -2.74668e-05
      -4.939e-05    -5.46594e-05
      -0.0016724     -0.00184649
     -4.8058e-05     -4.8541e-05
      -2.024e-05    -3.65063e-05
     -5.7827e-05    -6.33946e-05
    -0.000227421    -0.000209653
    -0.000166462    -0.000215683
    -0.000403362    -0.000389815
     -3.6069e-05    -5.17485e-05
     -0.00148858     -0.00153314
     -5.4983e-05    -7.97018e-05
     -1.6205e-05    -1.69454e-05
     -1.6594e-05    -1.81007e-05
    -0.000766258    -0.000601756
     -1.8189e-05    -2.81732e-05
    -0.000326993    -0.000303741
     -0.00127348    -0.000927094
    -0.000217753    -0.000282583
      -1.463e-05    -2.33964e-05
    -0.000967295      -0.0010231
     -0.00179198      -0.0012186
     -3.3366e-05     -3.1535e-05
    -0.000990663    -0.000650833
    -0.000442519    -0.000418726
     -8.6841e-05    -7.02712e-05
     -0.00127548     -0.00120713
    -0.000145581    -0.000197159
     -3.2812e-05    -5.74956e-05
    -0.000164426     -0.00024922
     -3.4065e-05     -2.4573e-05
    -0.000589044    -0.000444553
     -0.00141495     -0.00144775
     -2.6204e-05    -5.07949e-05
     -3.7699e-05    -4.46538e-05
    -0.000170849    -0.000202379
     -0.00152566     -0.00172429
     -0.00133116     -0.00138813
     -3.3503e-05    -5.34249e-05
    -0.000624595    -0.000752787
     -2.2587e-05    -2.41983e-05
    -0.000507985    -0.000442958
    -0.000365354    -0.000464565
     -1.7092e-05    -1.40711e-05
     -0.00184176     -0.00141625
    -0.000104781    -0.000112826
    -0.000559158    -0.000377023
       -4.21e-05    -3.92654e-05
    -0.000125297    -0.000146033
     -0.00017986    -0.000149175
    -0.000535823    -0.000506046
    -0.000367498     -0.00027943
     -6.3541e-05    -9.16424e-05
     -2.0418e-05    -2.11221e-05
     -2.8456e-05    -3.29134e-05
      -8.603e-05    -8.65226e-05
    -0.000242806    -0.000253827
     -0.00190003      -0.0011456
      -4.723e-05    -8.11148e-05
    -0.000368376    -0.000359292
     -0.00034484    -0.000446021
      -8.506e-05    -0.000160554
     -4.7753e-05    -3.94612e-05
     -1.5256e-05    -2.53611e-05
    -0.000847253    -0.000792308
     -0.00101123     -0.00104008
     -1.7213e-05    -2.66077e-05
    -0.000114488    -0.000126561
     -3.1614e-05    -5.30449e-05
    -0.000112074    -0.000201275
     -3.2396e-05    -5.84851e-05
     -0.00017881     -0.00017493
     -0.00025773    -0.000226883
    -0.000446787    -0.000364207
     -7.9164e-05    -6.65204e-05
     -0.00112037    -0.000875315
    -0.000124963    -0.000162801
    -0.000422239    -0.000326837
    -0.000664035    -0.000443176
     -0.00190969     -0.00367385
     -2.6996e-05    -4.66764e-05
    -0.000980753    -0.000798458
    -0.000232385    -0.000300202
     -0.00171956     -0.00132499
    -0.000296473    -0.000211752
    -0.000111382    -0.000161324
      -0.0005213    -0.000404805
     -0.00162967     -0.00167063
    -0.000144649    -0.000139291
     -6.0956e-05    -7.31513e-05
     -3.2641e-05    -3.60244e-05
