QM Energy	FF Energy
    -0.000278742    -0.000328474
    -0.000832271    -0.000751143
    -0.000753213    -0.000781588
    -0.000658701     -0.00068982
    -0.000105107    -0.000109614
    -0.000517919    -0.000379606
      -8.593e-06    -9.43565e-06
     -0.00012462    -0.000200198
    -0.000865122    -0.000636557
    -0.000707123    -0.000604089
    -0.000728216    -0.000742786
    -0.000155789    -0.000222127
    -0.000344821    -0.000279459
    -0.000117798    -0.000118963
     -0.00203629     -0.00180412
     -9.6754e-05    -0.000110043
     -1.8153e-05    -3.09697e-05
     -1.5819e-05     -2.7206e-05
     -5.8638e-05     -7.2015e-05
     -0.00125194     -0.00114285
     -2.8255e-05    -1.44615e-05
    -0.000664252    -0.000467763
    -0.000134551    -9.51535e-05
    -0.000356348    -0.000360324
    -0.000130661    -0.000110664
      -0.0010774    -0.000797313
    -0.000149767    -0.000164248
     -7.5486e-05    -0.000110922
     -0.00146145     -0.00127443
     -0.00074466    -0.000869777
     -0.00215329     -0.00199108
    -0.000865551    -0.000492556
     -3.3345e-05    -5.40584e-05
    -0.000213894    -0.000276707
        -3.5e-05    -3.75495e-05
     -1.7746e-05    -3.31576e-05
     -3.5051e-05    -2.22859e-05
    -0.000493045    -0.000378893
    -0.000222416    -0.000179379
     -3.6044e-05    -4.14625e-05
    -0.000411272    -0.000258019
     -3.8599e-05    -3.98611e-05
      -9.248e-06    -1.20209e-05
     -0.00145418      -0.0011446
     -4.8376e-05    -6.49806e-05
      -9.502e-06    -2.33684e-05
     -0.00127623     -0.00116645
      -1.666e-05    -1.85697e-05
     -3.3258e-05    -5.20235e-05
     -6.6968e-05    -5.51102e-05
    -0.000136337    -0.000182813
     -0.00025708    -0.000188082
    -0.000768811    -0.000653216
    -0.000650946    -0.000625603
    -0.000338647    -0.000406999
    -0.000123929    -0.000119161
     -7.2695e-05    -7.61204e-05
     -5.0541e-05    -7.56953e-05
      -7.449e-06    -1.28795e-05
     -1.9338e-05    -4.08552e-05
     -0.00165394     -0.00109358
     -6.5781e-05    -7.36002e-05
    -0.000928871    -0.000902114
     -5.3356e-05    -4.72923e-05
    -0.000286815    -0.000199063
     -5.9947e-05    -4.93434e-05
     -1.2683e-05    -2.24731e-05
    -0.000642782    -0.000476802
     -1.7234e-05    -2.69503e-05
      -4.939e-05    -5.58497e-05
      -0.0016724      -0.0018089
     -4.8058e-05    -4.75854e-05
      -2.024e-05    -3.57451e-05
     -5.7827e-05     -6.6762e-05
    -0.000227421    -0.000200736
    -0.000166462    -0.000215097
    -0.000403362    -0.000391915
     -3.6069e-05    -5.13597e-05
     -0.00148858     -0.00152526
     -5.4983e-05    -8.00501e-05
     -1.6205e-05    -1.72581e-05
     -1.6594e-05    -1.80513e-05
    -0.000766258    -0.000614234
     -1.8189e-05    -2.76295e-05
    -0.000326993    -0.000293609
     -0.00127348    -0.000922343
    -0.000217753    -0.000274134
      -1.463e-05    -2.32825e-05
    -0.000967295      -0.0010091
     -0.00179198      -0.0013045
     -3.3366e-05    -3.12292e-05
    -0.000990663    -0.000649309
    -0.000442519    -0.000418416
     -8.6841e-05    -6.89169e-05
     -0.00127548     -0.00118623
    -0.000145581    -0.000195319
     -3.2812e-05    -5.71587e-05
    -0.000164426    -0.000249667
     -3.4065e-05    -2.53748e-05
    -0.000589044    -0.000435231
     -0.00141495      -0.0014573
     -2.6204e-05    -5.08819e-05
     -3.7699e-05    -4.49412e-05
    -0.000170849     -0.00019895
     -0.00152566     -0.00171091
     -0.00133116     -0.00142934
     -3.3503e-05    -5.25047e-05
    -0.000624595    -0.000753514
     -2.2587e-05     -2.4188e-05
    -0.000507985    -0.000436739
    -0.000365354    -0.000458158
     -1.7092e-05    -1.50783e-05
     -0.00184176      -0.0014594
    -0.000104781    -0.000116175
    -0.000559158    -0.000386321
       -4.21e-05    -4.21029e-05
    -0.000125297    -0.000148143
     -0.00017986    -0.000141333
    -0.000535823    -0.000510793
    -0.000367498    -0.000283866
     -6.3541e-05    -8.95984e-05
     -2.0418e-05    -2.09754e-05
     -2.8456e-05    -3.37617e-05
      -8.603e-05     -8.4562e-05
    -0.000242806    -0.000258818
     -0.00190003     -0.00111629
      -4.723e-05    -8.07536e-05
    -0.000368376    -0.000366445
     -0.00034484    -0.000443346
      -8.506e-05    -0.000158427
     -4.7753e-05     -4.0431e-05
     -1.5256e-05    -2.54958e-05
    -0.000847253    -0.000801314
     -0.00101123     -0.00106573
     -1.7213e-05    -2.70385e-05
    -0.000114488    -0.000125198
     -3.1614e-05    -5.25402e-05
    -0.000112074    -0.000202498
     -3.2396e-05    -5.73395e-05
     -0.00017881    -0.000175431
     -0.00025773    -0.000224755
    -0.000446787    -0.000367395
     -7.9164e-05    -6.72436e-05
     -0.00112037    -0.000865355
    -0.000124963    -0.000159696
    -0.000422239    -0.000331029
    -0.000664035     -0.00044812
     -0.00190969     -0.00341058
     -2.6996e-05    -4.61562e-05
    -0.000980753     -0.00079253
    -0.000232385    -0.000294848
     -0.00171956     -0.00132775
    -0.000296473    -0.000206237
    -0.000111382    -0.000158031
      -0.0005213    -0.000408917
     -0.00162967     -0.00164483
    -0.000144649    -0.000137321
     -6.0956e-05     -7.2185e-05
     -3.2641e-05    -3.64626e-05
      -6.836e-06    -9.19728e-06
     -0.00016728    -0.000173045
    -0.000146506    -0.000188674
     -0.00028444    -0.000183049
     -6.8684e-05    -8.46993e-05
     -0.00115676     -0.00116534
     -5.2085e-05    -5.79778e-05
     -8.0731e-05    -4.22443e-05
    -0.000750198    -0.000489756
     -1.0897e-05    -1.89531e-05
     -1.3303e-05    -2.14627e-05
    -0.000400823    -0.000326757
    -0.000287411    -0.000353636
    -0.000167425    -0.000162877
     -0.00013566    -0.000219775
    -0.000609096    -0.000526766
    -0.000759161    -0.000560766
     -5.6018e-05    -6.56499e-05
     -4.6316e-05    -4.65626e-05
    -0.000199978    -0.000167497
     -0.00180389     -0.00184002
     -6.6732e-05    -0.000107064
    -0.000388286     -0.00031403
    -0.000783075    -0.000896056
     -1.3155e-05    -2.66977e-05
     -1.8598e-05    -2.27923e-05
     -0.00239831     -0.00283281
    -0.000123078    -0.000128266
     -0.00035731    -0.000402931
     -4.0902e-05    -8.32624e-05
     -3.0697e-05    -3.42643e-05
    -0.000932989    -0.000967509
    -0.000158176    -0.000138328
     -4.3597e-05    -2.78442e-05
    -0.000401091    -0.000311041
     -3.5327e-05    -4.82257e-05
     -9.5395e-05    -8.92988e-05
    -0.000125767     -0.00013991
    -0.000114745    -9.79633e-05
       -9.54e-05    -0.000146275
     -0.00100844     -0.00106926
    -0.000162643    -0.000227549
    -0.000375955    -0.000467346
     -4.6285e-05    -4.48358e-05
    -0.000866131     -0.00084545
      -0.0022264     -0.00316382
     -1.8723e-05    -2.27772e-05
     -0.00030435    -0.000223834
    -0.000864611    -0.000742121
     -0.00213946     -0.00410496
     -0.00168287     -0.00155426
    -0.000456513    -0.000550202
    -0.000276746    -0.000275393
     -0.00127003    -0.000877729
    -0.000196916    -0.000152407
     -6.8253e-05    -8.21936e-05
    -0.000261548    -0.000391157
     -9.7653e-05    -0.000126497
      -7.557e-06    -1.07184e-05
     -1.2468e-05    -1.13911e-05
     -0.00053714    -0.000594097
    -0.000462634    -0.000573106
    -0.000245386    -0.000319029
     -6.1249e-05     -5.8507e-05
    -0.000968502    -0.000689901
      -3.913e-05    -3.78258e-05
    -0.000555055    -0.000571156
    -0.000304797    -0.000293061
     -0.00112301    -0.000899901
    -0.000396955     -0.00032523
     -3.9759e-05    -4.57624e-05
    -0.000124858     -7.9456e-05
    -0.000206768    -0.000305772
    -0.000380027    -0.000368534
    -0.000109547    -9.04899e-05
     -0.00233679     -0.00218333
    -0.000230578    -0.000199985
     -3.7963e-05    -3.10227e-05
    -0.000203766    -0.000206611
     -9.7664e-05    -0.000110991
    -0.000567109    -0.000417456
     -0.00155728     -0.00168701
    -0.000114435    -0.000114813
      -3.326e-05    -2.72943e-05
    -0.000306861    -0.000163504
     -1.4523e-05    -2.44214e-05
     -3.6883e-05    -4.59604e-05
    -0.000270629     -0.00025459
     -0.00011877    -0.000155161
    -0.000111048    -0.000111006
      -8.111e-05    -9.03908e-05
    -0.000848272    -0.000577364
    -0.000152787    -0.000152162
    -0.000538637    -0.000386273
    -0.000105146    -9.00122e-05
     -6.3941e-05    -6.37717e-05
    -0.000945263    -0.000709316
     -0.00181857     -0.00139665
     -0.00101993    -0.000822203
     -0.00192433     -0.00200395
     -0.00025246    -0.000266926
     -0.00102429    -0.000866582
    -0.000512116     -0.00045125
     -4.0654e-05    -3.48314e-05
    -0.000229255    -0.000312357
     -0.00127521     -0.00129828
    -0.000197762    -0.000184351
     -3.5154e-05    -4.37265e-05
    -0.000378713    -0.000261749
     -2.0925e-05    -2.34281e-05
     -0.00144996     -0.00119073
     -2.2939e-05    -2.39197e-05
    -0.000129815    -0.000206493
     -0.00028732    -0.000298425
     -0.00145305     -0.00181377
     -0.00200621     -0.00225711
    -0.000288326    -0.000175999
     -2.1923e-05    -3.59577e-05
     -9.8371e-05    -0.000119073
     -2.0339e-05    -2.14742e-05
    -0.000804164    -0.000713787
    -0.000544463    -0.000630138
    -0.000787674    -0.000742266
    -0.000116733    -0.000166362
     -2.7629e-05    -4.55729e-05
    -0.000534417    -0.000534886
      -7.931e-05    -9.42954e-05
     -4.6453e-05    -4.65428e-05
     -1.3095e-05     -1.8935e-05
     -1.2857e-05    -1.60936e-05
     -0.00114904     -0.00106915
     -0.00117353     -0.00130334
     -8.0718e-05    -8.64196e-05
    -0.000793081    -0.000728467
    -0.000720296    -0.000447166
    -0.000637963    -0.000569061
     -0.00100546    -0.000769067
     -3.6671e-05    -2.00925e-05
    -0.000242859    -0.000220748
    -0.000340482    -0.000385337
     -5.6649e-05    -6.22953e-05
    -0.000993568    -0.000781221
      -2.695e-05     -3.3283e-05
      -1.694e-05    -3.47826e-05
     -5.7039e-05    -4.31752e-05
      -2.529e-05    -3.69973e-05
     -0.00055708    -0.000436312
     -0.00120883    -0.000955235
      -2.297e-05    -2.27192e-05
     -1.9231e-05    -2.03805e-05
    -0.000777878     -0.00080091
     -0.00215936     -0.00179731
    -0.000196977    -0.000164767
    -0.000755186    -0.000568449
     -0.00173656     -0.00147728
    -0.000117697     -0.00016342
     -0.00102315     -0.00067645
       -1.43e-05    -3.30896e-05
    -0.000845848    -0.000652717
     -6.3891e-05    -9.64858e-05
    -0.000111949    -0.000117977
     -4.0796e-05    -4.30066e-05
     -2.3576e-05    -2.84975e-05
     -0.00139434     -0.00123923
    -0.000806869    -0.000627781
     -0.00039396    -0.000547229
      -4.803e-06    -1.02938e-05
     -0.00189192     -0.00122041
     -7.7882e-05    -6.04042e-05
     -0.00209937      -0.0017705
    -0.000903256    -0.000718735
     -6.7119e-05    -0.000127921
     -0.00176388       -0.001422
    -0.000260116    -0.000200887
