RMS Errors for  anisotropic_fit_exp_total_energy_unconstrained.dat
acetone acetone 0.974446296591 0.486499577827
acetone ar 0.479275486266 0.157150303326
acetone chloromethane 0.996975277619 0.497729963504
acetone co2 0.636204743793 0.319479713089
acetone dimethyl_ether 1.19528229394 0.49122158556
acetone ethane 1.08288340679 0.397988676026
acetone ethanol 1.11478578333 0.695085123589
acetone ethene 0.925265737947 0.365316953333
acetone h2o 0.755207572828 0.481666490112
acetone methane 0.801713243883 0.290468326567
acetone methanol 1.05522989392 0.684074876626
acetone methyl_amine 1.31254325205 0.74812052481
acetone nh3 0.925605192176 0.434926174866
ar ar 0.0412001410214 0.0125428318444
ar chloromethane 0.505514447519 0.125742735418
ar co2 0.163382806719 0.0441648231902
ar dimethyl_ether 0.608041197661 0.14463228702
ar ethane 0.594319141257 0.118017625411
ar ethanol 0.784947882737 0.189017798692
ar ethene 0.864446403654 0.134522051104
ar h2o 0.747320790935 0.109661869121
ar methane 0.461383169923 0.0968438795946
ar methanol 0.64764658394 0.176413088878
ar methyl_amine 0.990996110603 0.199845637741
ar nh3 1.3766212184 0.0964165503224
chloromethane chloromethane 1.18221038996 0.392402714093
chloromethane co2 0.589191891561 0.236345057979
chloromethane dimethyl_ether 1.32976660869 0.483788671106
chloromethane ethane 1.0177520441 0.311609170803
chloromethane ethanol 1.04080115441 0.498963526894
chloromethane ethene 1.18244050937 0.338068706317
chloromethane h2o 0.815212620334 0.530446261198
chloromethane methane 0.943238518508 0.295849239637
chloromethane methanol 1.10234387394 0.529192758494
chloromethane methyl_amine 1.31949108824 0.513408290867
chloromethane nh3 1.03070783683 0.406530763706
co2 co2 0.288689528141 0.144645310147
co2 dimethyl_ether 0.778414547916 0.324769772103
co2 ethane 0.731554311588 0.197289497506
co2 ethanol 0.763639091024 0.307870517753
co2 ethene 0.747518140504 0.226205874199
co2 h2o 0.353678230127 0.235805955038
co2 methane 0.669466046888 0.17019970505
co2 methanol 0.761202323058 0.302596578991
co2 methyl_amine 0.850602956242 0.336372125122
co2 nh3 0.661015359809 0.270233381382
dimethyl_ether dimethyl_ether 1.29450687426 0.578465613509
dimethyl_ether ethane 1.02901296547 0.395954624837
dimethyl_ether ethanol 1.21686750058 0.574740893976
dimethyl_ether ethene 1.06081331601 0.377131360145
dimethyl_ether h2o 0.849913838108 0.461705015341
dimethyl_ether methane 1.01991202267 0.28436933845
dimethyl_ether methanol 1.19058864798 0.623380065637
dimethyl_ether methyl_amine 1.25288339045 0.566759141751
dimethyl_ether nh3 1.07049920528 0.472061915589
ethane ethane 1.13800320691 0.291831159927
ethane ethanol 1.15608696083 0.424557045356
ethane ethene 0.92076409397 0.278739813999
ethane h2o 0.837412831322 0.203799219725
ethane methane 0.869241425943 0.240421976241
ethane methanol 0.947187662715 0.396007475124
ethane methyl_amine 1.0015775552 0.364555853538
ethane nh3 0.949942573667 0.221380830187
ethanol ethanol 1.1407156084 0.63885916956
ethanol ethene 0.968014726666 0.436959540158
ethanol h2o 0.798505110307 0.459032580866
ethanol methane 0.970336642066 0.315323876141
ethanol methanol 1.1868406149 0.677309851323
ethanol methyl_amine 1.33529163502 0.638645508765
ethanol nh3 0.948518080227 0.505459086281
ethene ethene 1.30860191155 0.351499901093
ethene h2o 0.882567200965 0.299478262249
ethene methane 0.854287536733 0.268185821683
ethene methanol 0.96012805483 0.385208505371
ethene methyl_amine 1.25434656102 0.411414273785
ethene nh3 1.16177051669 0.322741973691
h2o h2o 0.494991762232 0.266997473009
h2o methane 0.832395816434 0.25729666154
h2o methanol 0.854730894203 0.481385321973
h2o methyl_amine 0.930926953851 0.397280751962
h2o nh3 0.647361868792 0.442095447363
methane methane 0.761129326493 0.206426567598
methane methanol 0.949741768147 0.350011064788
methane methyl_amine 1.22381455118 0.357856763763
methane nh3 0.889962506383 0.257090783622
methanol methanol 1.22948292789 0.668297420707
methanol methyl_amine 1.20861299389 0.649392678488
methanol nh3 0.88954837261 0.430819482161
methyl_amine methyl_amine 1.20110171337 0.617865303828
methyl_amine nh3 1.39168061179 0.526226200703
nh3 nh3 0.868904020702 0.33223505036


